기간	대분류	분류	행복지수 종합	항목별 행복지수	항목별 행복지수	항목별 행복지수	항목별 행복지수	항목별 행복지수
기간	대분류	분류	행복지수 종합	자신의 건강상태	자신의 재정상태	주위 친지 친구와의 관계	가정생활	사회생활
2019	서울시	서울시	6.84	7.25	6.26	6.91	6.98	6.79
2019	성별	남자	6.89	7.36	6.31	6.92	7.01	6.83
2019	성별	여자	6.79	7.14	6.22	6.9	6.95	6.74
2019	연령별	10대	7.19	8	6.16	7.31	7.33	7.15
2019	연령별	20대	7.08	7.9	6.29	7.12	7.1	6.99
2019	연령별	30대	7.12	7.69	6.55	7.16	7.22	6.99
2019	연령별	40대	7.02	7.45	6.5	7	7.2	6.92
2019	연령별	50대	6.81	7.09	6.39	6.85	6.95	6.76
2019	연령별	60대 이상	6.28	6.28	5.81	6.48	6.5	6.34
2019	학력별	중졸 이하	5.96	5.97	5.28	6.25	6.22	6.1
2019	학력별	고졸 이하	6.79	7.12	6.25	6.89	6.95	6.75
2019	학력별	대졸 이하	7.06	7.6	6.49	7.07	7.16	6.96
2019	학력별	대학원 이상	7.08	7.73	6.65	7.07	7.1	6.86
2019	소득별	100 만원 미만	5.71	6.1	4.79	6.03	5.83	5.81
2019	소득별	100-200만 미만	6.05	6.18	5.4	6.31	6.22	6.14
2019	소득별	200-300만 미만	6.74	7.12	6.16	6.85	6.79	6.77
2019	소득별	300-400만 미만	6.87	7.3	6.29	6.97	7	6.8
2019	소득별	400-500만 미만	6.98	7.41	6.4	7.03	7.15	6.92
2019	소득별	500만 이상	7.02	7.47	6.5	7.04	7.18	6.92
2019	혼인상태별	기혼	6.9	7.18	6.42	6.94	7.12	6.83
2019	혼인상태별	미혼	7.05	7.83	6.28	7.11	7.05	6.97
2019	혼인상태별	이혼/사별/기타	6.07	6.2	5.51	6.32	6.15	6.18
2019	지역대분류	도심권	6.61	7.09	6.14	6.7	6.67	6.45
2019	지역대분류	동북권	6.9	7.3	6.26	6.98	7.04	6.92
2019	지역대분류	서북권	6.76	7.14	6.17	6.85	6.93	6.72
2019	지역대분류	서남권	6.85	7.25	6.33	6.91	6.96	6.82
2019	지역대분류	동남권	6.81	7.27	6.27	6.88	7	6.64
2019	종로구	종로구	7.18	7.47	6.84	7.29	7.34	6.95
2019	중구	중구	6.48	6.88	5.99	6.62	6.59	6.34
2019	용산구	용산구	6.28	6.94	5.73	6.33	6.25	6.16
2019	성동구	성동구	6.71	7.01	6.21	6.76	6.76	6.78
2019	광진구	광진구	6.94	7.24	6.23	7.09	7.15	7.02
2019	동대문구	동대문구	6.8	7.47	6.16	6.77	6.75	6.82
2019	중랑구	중랑구	6.44	6.76	5.79	6.55	6.69	6.44
2019	성북구	성북구	6.95	7.57	6.33	6.99	7.06	6.82
2019	강북구	강북구	7.11	7.31	6.34	7.37	7.23	7.27
2019	도봉구	도봉구	6.89	7.34	6.3	6.9	7.04	6.89
2019	노원구	노원구	7.22	7.52	6.57	7.29	7.46	7.27
2019	은평구	은평구	6.59	6.87	6.04	6.75	6.79	6.52
2019	서대문구	서대문구	6.64	7.15	5.65	6.75	6.95	6.71
2019	마포구	마포구	7.09	7.48	6.79	7.07	7.11	6.99
2019	양천구	양천구	6.93	7.06	6.75	6.97	7.06	6.79
2019	강서구	강서구	6.72	7.25	6.14	6.74	6.78	6.68
2019	구로구	구로구	6.79	7.18	6.08	6.94	6.88	6.87
2019	금천구	금천구	7.02	7.43	6.05	7.13	7.3	7.18
2019	영등포구	영등포구	6.68	7.11	6.21	6.71	6.71	6.66
2019	동작구	동작구	6.71	7.14	6.2	6.78	6.83	6.62
2019	관악구	관악구	7.14	7.54	6.69	7.18	7.24	7.07
2019	서초구	서초구	6.78	7.26	6.19	6.76	7.07	6.6
2019	강남구	강남구	7.01	7.49	6.6	7.13	7.11	6.74
2019	송파구	송파구	6.94	7.49	6.41	6.95	7.1	6.75
2019	강동구	강동구	6.4	6.65	5.73	6.59	6.65	6.4